Image	BBox	Label
img_14475.jpg	[112, 803, 399, 1228]	motorbike
img_14475.jpg	[123, 1114, 425, 973]	plate
img_14801.jpg	[358, 358, 481, 501]	motorbike
img_15003.jpg	[1341, 619, 1479, 947]	motorbike
img_15003.jpg	[1415, 747, 1458, 775]	plate
img_15206.jpg	[209, 906, 496, 1305]	motorbike
img_15206.jpg	[217, 1138, 269, 1199]	plate
img_15409.jpg	[921, 389, 988, 537]	motorbike
img_15611.jpg	[793, 368, 1013, 593]	car
img_15611.jpg	[863, 534, 997, 466]	plate
img_15814.jpg	[-6, 773, 696, 1525]	car
img_16219.jpg	[1452, 734, 1504, 760]	plate
img_16421.jpg	[117, 660, 793, 1474]	car
img_16421.jpg	[276, 1142, 735, 1062]	plate
img_16421.jpg	[803, 363, 1018, 609]	car
img_16421.jpg	[863, 522, 1013, 475]	plate
img_16624.jpg	[148, 640, 844, 1367]	car
img_16624.jpg	[279, 1148, 800, 924]	plate
img_16827.jpg	[1131, 358, 1367, 645]	car
img_16827.jpg	[1197, 560, 1369, 504]	plate
img_17029.jpg	[1326, 624, 1899, 1397]	car
img_17029.jpg	[1687, 1302, 1676, 780]	plate
img_17231.jpg	[901, 358, 983, 506]	motorbike
img_17434.jpg	[1131, 337, 1320, 450]	car
img_17637.jpg	[747, 424, 1039, 732]	car
img_17637.jpg	[800, 585, 1121, 612]	plate
img_18041.jpg	[670, 443, 718, 467]	plate
img_18244.jpg	[660, 450, 952, 762]	car
img_18244.jpg	[728, 679, 963, 585]	plate
img_18447.jpg	[1315, 465, 1704, 1039]	car
img_18447.jpg	[1564, 939, 1547, 598]	plate
img_18852.jpg	[1556, 624, 1745, 931]	motorbike
img_18852.jpg	[1701, 759, 1631, 815]	plate
img_19054.jpg	[92, 322, 389, 496]	car
img_19257.jpg	[1505, 691, 2042, 1536]	car
img_19662.jpg	[1617, 496, 2058, 788]	car
img_19662.jpg	[1239, 348, 1530, 583]	car
img_19662.jpg	[1312, 483, 1494, 469]	plate
img_19662.jpg	[1270, 522, 1537, 434]	plate
img_19865.jpg	[885, 296, 988, 409]	car
img_19865.jpg	[917, 335, 983, 386]	plate
img_19865.jpg	[1843, 506, 2007, 706]	motorbike
img_20066.jpg	[117, 650, 409, 967]	motorbike
img_20471.jpg	[0, 1044, 537, 1536]	car
img_20471.jpg	[1766, 680, 1925, 1024]	motorbike
img_20471.jpg	[1878, 815, 1854, 910]	plate
img_20674.jpg	[815, 543, 871, 573]	plate
img_20877.jpg	[816, 542, 873, 573]	plate
img_21079.jpg	[1239, 455, 1571, 844]	car
img_21079.jpg	[1440, 757, 1446, 583]	plate
img_21079.jpg	[855, 414, 1013, 691]	motorbike
img_21079.jpg	[943, 608, 957, 524]	plate
img_21281.jpg	[640, 573, 798, 865]	motorbike
